,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury
1,Nikola Jokic,DEN,C,1.5,2.23,1.61,1.30,1.20,1.11,64.83,,
2,Giannis Antetokounmpo,MIL,F,2.4,2.72,1.74,3.20,1.90,2.41,65.72,,
3,Luka Doncic,DAL,G,3.3,2.79,2.82,4.20,3.00,3.71,63.44,,
6,Jayson Tatum,BOS,F,6.6,4.84,8.40,7.60,5.20,6.73,60.14,,
10,Ja Morant,MEM,G,11.6,7.14,7.87,18.40,8.00,16.70,54.58,,
7,Stephen Curry,GSW,G,9.3,7.93,11.54,6.00,12.10,8.93,49.65,OUT,Ankle
5,Kevin Durant,BKN,F,6.3,8.17,5.74,5.10,6.40,5.86,54.11,,
T12,Tyrese Haliburton,IND,G,16.1,8.98,27.23,13.50,15.90,14.88,53.28,GTD,Groin
4,Joel Embiid,PHI,C,5.1,9.01,5.02,3.40,4.30,3.84,51.35,,
8,Trae Young,ATL,G,10.8,10.65,10.37,10.90,11.10,10.92,51.65,,
9,LeBron James,LAL,F,11.3,11.26,6.85,15.80,10.10,12.36,49.15,,
16,Devin Booker,PHO,G,17.6,13.62,22.77,15.70,18.20,17.88,42.43,,
19,Dejounte Murray,ATL,G,22.6,15.29,29.90,20.50,22.90,24.39,44.76,,
33,Shai Gilgeous-Alexander,OKC,G,34.5,16.03,34.52,47.40,30.50,43.94,41.31,,
21,DeMar DeRozan,CHI,F,24.8,16.76,23.26,31.20,20.90,31.80,40.03,,
11,Karl-Anthony Towns,MIN,C,11.9,19.62,11.28,9.30,9.50,9.77,43.74,OUT,Calf
26,Donovan Mitchell,CLE,G,27.3,20.47,32.53,24.90,27.90,30.65,34.22,,
17,Anthony Davis,LAL,C,17.7,21.62,13.18,17.60,18.60,17.35,29.80,OUT,Illness
14,LaMelo Ball,CHA,G,16.7,21.65,18.52,13.20,13.70,16.52,43.05,OUT,Ankle
18,Domantas Sabonis,SAC,C,21.8,22.65,19.92,24.10,21.00,21.12,36.00,,
50,Jalen Brunson,NYK,G,53.0,26.04,55.20,64.30,55.90,63.67,31.60,,
22,Pascal Siakam,TOR,F,25.4,26.68,28.26,28.70,20.50,22.62,27.43,,
20,Anthony Edwards,MIN,G,23.7,28.68,30.07,20.40,18.00,21.11,22.71,,
32,Nikola Vucevic,CHI,C,34.2,28.93,32.87,35.00,37.70,36.28,30.35,,
35,Darius Garland,CLE,G,35.3,29.72,43.14,30.40,41.00,32.19,25.33,,
15,Damian Lillard,POR,G,17.4,29.94,14.07,13.90,14.80,14.29,29.63,,
